Date,Product,Category,Region,Quantity,Price,Total_Sales
2024-01-01,Laptop,Electronics,West,2,50000,100000
2024-01-02,Mobile,Electronics,North,3,20000,60000
2024-01-03,Headphones,Accessories,South,5,2000,10000
2024-01-04,Keyboard,Accessories,East,4,1500,6000
2024-01-05,Mouse,Accessories,West,6,800,4800
2024-01-06,Laptop,Electronics,North,1,50000,50000
2024-01-07,Mobile,Electronics,South,2,20000,40000
2024-01-08,Headphones,Accessories,East,3,2000,6000
2024-01-09,Tablet,Electronics,West,2,30000,60000
2024-01-10,Printer,Electronics,North,1,15000,15000
