PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
1,1,female,29,0,0,100.0,C,1
2,3,male,35,1,0,7.25,S,0
3,2,female,24,0,0,13.0,Q,1
4,1,male,54,1,0,80.0,C,0
5,3,female,18,2,1,8.05,S,1
6,2,male,40,0,0,15.0,Q,0
7,1,female,22,0,0,120.0,C,1
8,3,male,30,1,1,7.75,S,0
9,2,female,27,0,0,10.5,Q,1
10,1,male,45,1,0,90.0,C,0
11,3,female,19,2,1,8.5,S,1
12,2,male,33,0,0,14.0,Q,0
13,1,female,28,0,0,110.0,C,1
14,3,male,50,1,0,7.9,S,0
15,2,female,21,0,0,12.0,Q,1
16,1,male,38,1,0,95.0,C,0
17,3,female,26,2,1,8.3,S,1
18,2,male,41,0,0,16.0,Q,0
19,1,female,23,0,0,105.0,C,1
20,3,male,36,1,0,7.2,S,0
